"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Abrangência Geográfica de Cobertura dos Planos de Saúde";"Lista os municípios que fazem parte da cobertura oferecida por plano de saúde de assistência médico-hospitalar, por operadora e por macrorregião.

Nota sobre a descontinuidade do conjunto: A coluna ""ID_GEO_COBERTURA  do conjunto ""características dos produtos da Saúde Suplementar"" corresponde à chave primária ""ID_DETALHE_AREA_GEOGRAFICA"" da tabela auxiliar ""Detalhamento de municípios"" ( disponível no conjunto ""características dos produtos da Saúde Suplementar"" que lista os municípios correspondentes à área de cobertura específica de cada plano.";"ANS,cobertura,operadora,plano de saúde";"2";"0";"3602"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de Qualidade - Hospitais-Dia 100%";"Hospitais-Dia aptos a receberem 100% do Fator de Qualidade da ANS em 2017.";"FQ,Fator de Qualidade,IPCA,Prestadores,contrato,índice de Reajuste";"2";"0";"603"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de Qualidade - Hospitais-Dia 105%";"Hospitais-Dia aptos a receberem 105% do Fator de Qualidade da ANS em 2017.";"FQ,Fator de Qualidade,IPCA,Prestadores,contrato,índice de Reajuste";"2";"0";"246"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de Qualidade - Profissionais 105%";"Fator que deve ser aplicado ao índice de reajuste estabelecido pela Agência Nacional de Saúde Suplementar (ANS), qual seja, o Índice de Preços ao Consumidor Amplo (IPCA), aplicável aos contratos entre os prestadores de serviços e as operadoras de planos de saúde, quando há previsão de livre negociação entre as partes como única forma de reajuste e não há acordo, após a negociação, nos primeiros noventa dias do ano.";"Contratação,FQ,Fator de Qualidade,IPCA,Prestadores,Índice de Reajuste";"2";"0";"181"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de Qualidade - SADT 100%";"Serviços de Apoio, Diagnóstico e Terapia (SADT) aptos a receberem 100% do Fator de Qualidade da ANS em 2017.";"FQ,Fator de Qualidade,IPCA,Prestadores,contrato,índice de Reajuste";"2";"0";"120"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de Qualidade - SADT 105%";"Serviços de Apoio, Diagnóstico e Terapia (SADT) aptos a receberem 105% do Fator de Qualidade da ANS em 2017.
";"FQ,Fator de Qualidade,IPCA,Prestadores,contrato,índice de Reajuste";"2";"0";"82"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de qualidade - Hospitais 100%";"Fator que deve ser aplicado ao índice de reajuste estabelecido pela Agência Nacional de Saúde Suplementar (ANS), qual seja, o Índice de Preços ao Consumidor Amplo (IPCA), aplicável aos contratos entre os prestadores de serviços e as operadoras de planos de saúde, quando há previsão de livre negociação entre as partes como única forma de reajuste e não há acordo, após a negociação, nos primeiros noventa dias do ano.";"Contratação,FQ,Fator de Qualidade,IPCA,Prestadores,Índice de Reajuste";"2";"0";"190"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de qualidade - Hospitais 105%";"Fator que deve ser aplicado ao índice de reajuste estabelecido pela Agência Nacional de Saúde Suplementar (ANS), qual seja, o Índice de Preços ao Consumidor Amplo (IPCA), aplicável aos contratos entre os prestadores de serviços e as operadoras de planos de saúde, quando há previsão de livre negociação entre as partes como única forma de reajuste e não há acordo, após a negociação, nos primeiros noventa dias do ano.


";"ANS,Fator de Qualidade";"2";"0";"148"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Fator de qualidade - Profissionais 100%";"Fator que deve ser aplicado ao índice de reajuste estabelecido pela Agência Nacional de Saúde Suplementar (ANS), qual seja, o Índice de Preços ao Consumidor Amplo (IPCA), aplicável aos contratos entre os prestadores de serviços e as operadoras de planos de saúde, quando há previsão de livre negociação entre as partes como única forma de reajuste e não há acordo, após a negociação, nos primeiros noventa dias do ano.
";"Contratação,FQ,Fator de Qualidade,IPCA,Prestadores,Índice de Reajuste";"2";"0";"107"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Glossário da Saúde Suplementar";"Glossário dos vocábulos da saúde suplementar.
";"ANS,Dicionário,Glossário,Glossário da Saúde Suplementar,Saúde Suplementar";"2";"0";"395"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Percentual de Finalização Assistencial (PFA)";"O PFA considera o total de reclamações de natureza assistencial solucionadas por meio da Notificação de Intermediação Preliminar (NIP). ( versão vigente até 2022)";"ANS,Agência Nacional de Saúde Suplementar,Avaliações de operadoras,Percentual de Finalização Assistencial,Planos de saúde,Saúde Suplementar,Índice de Reclamações";"5";"0";"0"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Programa de Qualificação Institucional";"O Programa de Qualificação Institucional (PQI) busca medir o desempenho da ANS a partir de um conjunto de indicadores que compõem o Índice de Desempenho Institucional (IDI). O conjunto de dados em questão apresenta o histórico de resultados dos indicadores que compuseram o IDI desde 2008.";"ANS,PQI,Programa de Qualificação Institucional,Qualificação Institucional,Saúde Suplementar";"2";"0";"90"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Índice Geral de Reclamações - IGR";"O IGR têm como base os dados de beneficiários e reclamações recebidos pela ANS e permitem comparar a atuação das empresas que atuam no setor de Saúde Suplementar. Versão vigente até 2022.";"ANS,Agência Nacional de Saúde Suplementar,IGR,avaliações de operadoras,planos de saúde,saúde suplementar,índice de reclamações,índice geral de reclamações";"7";"0";"1650"
"ANS - Agência Nacional de Saúde Suplementar";"(Descontinuado) Índice de Abertura de Processo Administrativo (IAP)";"O IAP é um índice que considera o volume de reclamações com indício de infração que foram encaminhadas para os Núcleos da ANS. (conjunto de dados Vigente até 2022)";"ANS,Agência Nacional de Saúde Suplementar,Avaliação de operadoras,IAP,IGR,Índice de Reclamações,Índice de abertura de processo administrativo";"5";"0";"538"
